,dataset,mean_average_precision,map_micro,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_micro,aucroc_macro,aucroc_weighted,acc1,acc5,mean_per_class_recall
0,chestmnist_plus,0.057740312069654465,0.05256923660635948,0.05256923660635948,0.09616074711084366,0.05256923660635948,0.05256923660635948,0.09616074711084366,0.09988746792078018,0.09616570174694061,0.1706850677728653,0.5,0.5,0.5,,,
1,pathmnist_plus,,,0.11435507237911224,0.13377094268798828,0.1717270165681839,0.1111111119389534,0.1717270165681839,0.1717270165681839,0.03256864473223686,0.05033624544739723,,0.5055491924285889,0.5081462264060974,0.17172701949860725,0.5784122562674094,0.1111111111111111
2,dermamnist_plus,,,0.14459197223186493,0.47793877124786377,0.032917704433202744,0.1428571492433548,0.032917704433202744,0.032917704433202744,0.00910533219575882,0.0020980865228921175,,0.510035514831543,0.5062447190284729,0.03291770573566085,0.8743142144638404,0.14285714285714285
3,octmnist_plus,,,0.2736331820487976,0.2736331820487976,0.2639999985694885,0.2639999985694885,0.2639999985694885,0.2639999985694885,0.13410153985023499,0.13410153985023499,,0.5409806966781616,0.5409806966781616,0.27,,0.264
4,pneumoniamnist_plus,,,0.4948936104774475,0.5260941386222839,0.3798076808452606,0.4961538314819336,0.379807710647583,0.3798076808452606,0.2980142831802368,0.2381092607975006,,0.48856016993522644,0.48856014013290405,0.3798076923076923,,0.49615384615384617
5,retinamnist_plus,,,0.16447043418884277,0.2238989919424057,0.1599999964237213,0.12256371974945068,0.1599999964237213,0.1599999964237213,0.0806129053235054,0.1312330663204193,,0.4051280915737152,0.3400590419769287,0.1225,1.0,0.12256371814092955
6,breastmnist_plus,,,0.48281610012054443,0.5880791544914246,0.7243589758872986,0.49561402201652527,0.7243589758872986,0.7243589758872986,0.42007434368133545,0.6139547824859619,,0.44883042573928833,0.44883039593696594,0.7243589743589743,,0.4956140350877193
7,bloodmnist_plus,,,0.12817421555519104,0.14746133983135223,0.1692487597465515,0.125,0.1692487597465515,0.1692487597465515,0.03618749976158142,0.04899751394987106,,0.49937987327575684,0.503180980682373,0.16924875767319497,0.6714410990938322,0.125
8,tissuemnist_plus,,,0.13312843441963196,0.20410865545272827,0.10490693897008896,0.09032782167196274,0.10490693151950836,0.10490693897008896,0.07478579878807068,0.11082959175109863,,0.4736376702785492,0.4919806122779846,0.06294416243654823,0.6294416243654822,0.09032782705435505
9,organamnist_plus,,,0.09138675034046173,0.10861995816230774,0.042918212711811066,0.08844902366399765,0.042918212711811066,0.042918212711811066,0.010510632768273354,0.005115744192153215,,0.5003843903541565,0.49772047996520996,0.042918213522330974,0.4057261784227697,0.08844902170429103
10,organcmnist_plus,,,0.09163689613342285,0.114752396941185,0.05002434179186821,0.08559815585613251,0.05002434179186821,0.05002434179186821,0.01203131303191185,0.00809364765882492,,0.498717337846756,0.4975350797176361,0.04868549172346641,0.3302093476144109,0.08559815593484763
11,organsmnist_plus,,,0.08993931114673615,0.1227041706442833,0.04678826406598091,0.08551937341690063,0.04678826034069061,0.04678826406598091,0.008851525373756886,0.0048468816094100475,,0.48982030153274536,0.4911486804485321,0.046788263283108644,0.2744986971791096,0.08551936916708741
