,dataset,epochs,seed,fewshot_k,normalized,map_macro,map_weighted,acc_micro,acc_macro,acc_weighted,f1_micro,f1_macro,f1_weighted,aucroc_macro,aucroc_weighted,lp_acc1,lp_acc5,lp_mean_per_class_recall,weight_decay
0,chestmnist_plus,40,0,-1,True,0.06815540045499802,0.12367115169763565,0.9474084973335266,0.9474084973335266,0.9038156867027283,0.00012107270595151931,3.625815952545963e-05,0.0001210772170452401,0.5717982649803162,0.571873128414154,,,,
1,pathmnist_plus,40,0,-1,True,0.4721345901489258,0.5615137219429016,0.5408077836036682,0.4583720564842224,0.5408077836036682,0.5408077836036682,0.39985254406929016,0.48342418670654297,0.8571071624755859,0.8787590861320496,0.5409470752089136,0.9498607242339833,0.4583720619235964,0.0
2,dermamnist_plus,40,0,-1,True,0.2346489131450653,0.6324824690818787,0.6688279509544373,0.1428571492433548,0.6688279509544373,0.6688279509544373,0.11450772732496262,0.536101758480072,0.7744183540344238,0.7462577223777771,0.6688279301745635,0.9740648379052369,0.14285714285714285,0.0
3,octmnist_plus,40,0,-1,True,0.39551594853401184,0.39551594853401184,0.36800000071525574,0.36800000071525574,0.36800000071525574,0.36800000071525574,0.25060105323791504,0.25060105323791504,0.6735773086547852,0.6735773086547852,0.368,,0.368,0.0
4,pneumoniamnist_plus,40,0,-1,True,0.7174065113067627,0.7479952573776245,0.625,0.5,0.625,0.625,0.38461539149284363,0.48076921701431274,0.7602290511131287,0.7602290511131287,0.625,,0.5,0.0
5,retinamnist_plus,40,0,-1,True,0.30096182227134705,0.42848706245422363,0.4724999964237213,0.26869654655456543,0.4724999964237213,0.4724999964237213,0.2303144782781601,0.38340574502944946,0.6505550146102905,0.6865656971931458,0.4725,,0.2686965340858983,0.0
6,breastmnist_plus,40,0,-1,True,0.5690760612487793,0.676242470741272,0.7307692170143127,0.5,0.7307692170143127,0.7307692170143127,0.42222222685813904,0.6170940399169922,0.6021302938461304,0.6021303534507751,0.7307692307692307,,0.5,0.0
7,bloodmnist_plus,40,0,-1,True,0.4289722442626953,0.4234428405761719,0.42326804995536804,0.31540775299072266,0.42326804995536804,0.42326804995536804,0.2633695602416992,0.3391881287097931,0.8140461444854736,0.8006551265716553,0.4232680502776966,0.8935983630517392,0.3154077481293572,0.0
8,tissuemnist_plus,40,0,-1,True,0.2460245043039322,0.35599324107170105,0.4001269042491913,0.21661391854286194,0.4001269042491913,0.4001269042491913,0.17394059896469116,0.3147655129432678,0.713987410068512,0.7088552713394165,0.4001057529610829,0.8973773265651438,0.21661392132564916,0.0
9,organamnist_plus,40,0,-1,True,0.3166104257106781,0.3075454533100128,0.31943976879119873,0.22841431200504303,0.31943973898887634,0.31943976879119873,0.1863393783569336,0.22475995123386383,0.8061951994895935,0.7861943244934082,0.31910226122173474,0.84115198560018,0.228414320981486,0.0
10,organcmnist_plus,40,0,-1,True,0.27178940176963806,0.28743723034858704,0.22736124694347382,0.09821359068155289,0.22736124694347382,0.22736124694347382,0.047190263867378235,0.09201493859291077,0.7759912014007568,0.755919337272644,0.22736124634858812,0.7956426484907497,0.09821359101209791,0.0
11,organsmnist_plus,40,0,-1,True,0.26388129591941833,0.2854956388473511,0.2442505955696106,0.10697774589061737,0.2442505955696106,0.2442505955696106,0.06295593827962875,0.10709171742200851,0.7501808404922485,0.7172139286994934,0.24425059476605868,0.8014047807862241,0.10697773982563213,0.0
